source	key	candidate	revision	digest	census	licence_screen	revision_screen	fern_screen	disposition	evidence
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/DocumentCollectorService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	eca552a1ca080d53fb7b87afbbf73613e5d5b65053604f1962b2e4f4a40ef915	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:55
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/ForeignExchangeService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	ee079efed5ade31ddc5b9a5c8aa86e4100113ee1c72fbe450b3e0f0f0b022493	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:56
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/ForwardApiNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	b679bbb02ac13501b644a23402bc82233840b2e97c42fd0fd093bb8a696c0829	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:57
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/FundService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	9b48191399460b42c01764f012778fb9b7f0de5e8c3951184825bc206da88684	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:58
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/FundService-v5.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	9033c2c7bc2e79ea5ea774dcf748e4b0a85d708446de8557cef3890211f0b060	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:59
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/FundService-v6.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	75d78caf83c618bde36f61b8b096b21d3354e80fca019e511d5bb59e0f0272bc	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:60
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/HopService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	b2b000b1161e101d9baa41a787d058a0b91ffd77de03c7f683abb7d39603f062	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:61
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/HopService-v5.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	fb5a3c2901430a7cb4372a9f32b98356314edfa134d60cbf4047c042eef71637	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:62
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/HopService-v6.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f10fbf469ffff94245fdcca0eb77df31bc7ff5b16b0a223b8bb133397f64ebb1	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:63
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/LegalEntityService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	d0097ab4e2e808dbfc7f7abdac55c8f1f59120833185ab9783921f506d39574a	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:64
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/LegalEntityService-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	e247b56589655eb54e784be3a132558343a529d4592b75c4d3cc0fb281f30433	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:65
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/LegalEntityService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	2ae704e1705b9775ed326ab5311dad551552ce539c54919c033157ad39fdca58	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:66
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/LegalEntityService-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	af8c939f2cd9585b09bcee4b584370ece32586d46463c9f8f2c8a3b5b83ea9d8	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:67
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/ManagementNotificationService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	c97f44056d5d7852405286b1e4fb63904c5da27b78eeeacc06a062eb83c93734	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:68
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/ManagementNotificationService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	283874775792641df2b9d27d5b5c91b8a057f30642bfc65d35dce7e49c3480be	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:69
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/ManagementService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	1089ade06e176cc5f7fd861a24382cb85532a0a70051ac5d689ab9a87c27fe16	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:188
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/ManagementService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f634b6afa6536597c0885dab710a35feec94ba34fe77f95056f3a15d318ab212	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:189
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/MarketPayNotificationService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	fae4b3da8f9f5a82a11ca60c77b591e76923db5de08735c86db5c1126c7b64c0	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:72
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/MarketPayNotificationService-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f5654ffc1da2ab128da408409ff1d0ff19b17ca40e8381b16a0ae098b81a21d7	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:73
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/MarketPayNotificationService-v5.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	30fee0e37703381a54b35ed33e8edc4d038300761304778b87bf1f026a96725d	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:74
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/MarketPayNotificationService-v6.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	2b6f04c400a53a20e6345a5655f382a6fcaae9aeebcce0116d6294a74bef54e8	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:75
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/NotificationConfigurationService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	7c50dc09939d0c3fb67d2b60eac1a6b4e96624654e23b0dcdec2e00020922acc	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:76
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/NotificationConfigurationService-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f14985e70cd21176ea7cdc489ca7a29b91440e8b8bf10172ed73b9810134e069	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:77
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/NotificationConfigurationService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	a440f0ed2ae8c574da45c6b2c7704a077818c2e7cf0b1337f4f629f28fd98e98	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:78
