key	kind	subject	result	file
property-sole-oneof-empty-object-member	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"oneOf\"" content:"\"additionalProperties\"" content:"\"type\"" content:"{}" count:all type:file	1642	queries.jsonl
ref-pointer-undeclared-component-head	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"$ref:" content:"#/components/schemas/undefined" count:all type:file	2	queries.jsonl
ref-pointer-undeclared-component-head	query	file:(openapi|swagger).*\.json$ content:"\"$ref\"" content:"#/components/schemas/Unknown" count:all type:file	99	queries.jsonl
ref-pointer-unnamed-segment	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"$ref:" content:"/$defs/" count:all type:file	82	queries.jsonl
ref-pointer-unnamed-segment	query	file:(openapi|swagger).*\.json$ content:"\"$ref\"" content:"/definitions/" count:all type:file	10771	queries.jsonl
schema-name-nonidentifier-name	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"schemas:" count:all type:file	20634	queries.jsonl
schema-name-nonidentifier-name	query	file:(openapi|swagger).*\.json$ content:"\"schemas\"" count:all type:file	42832	queries.jsonl
securityscheme-ref	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"securitySchemes:" content:"$ref:" content:"#/components/securitySchemes/" count:all type:file	27	queries.jsonl
securityscheme-ref	query	file:(openapi|swagger).*\.json$ content:"\"securitySchemes\"" content:"\"$ref\"" content:"securitySchemes/" count:all type:file	53	queries.jsonl
annotated-ref-target-closed-object	candidate	3252a8/remnawave-minishop:docs-site/public/openapi.json@efca443d986446cc9e205a5e24c4ffca0b77a7ba	census 0	records.tsv
annotated-ref-target-closed-object	candidate	3252a8/remnawave-minishop:docs/openapi.json@efca443d986446cc9e205a5e24c4ffca0b77a7ba	census 0	records.tsv
annotated-ref-target-closed-object	candidate	5e-bits/5e-srd-api:apps/docs/openapi-2024.json@c0df74648b1758d99403fb1e0a08a92d35cd5730	census 0	records.tsv
annotated-ref-target-closed-object	candidate	5e-bits/5e-srd-api:apps/docs/openapi.json@c0df74648b1758d99403fb1e0a08a92d35cd5730	census 0	records.tsv
annotated-ref-target-closed-object	candidate	AFunc-OPC/Skiller:docs/openapi.json@931b5c70f3a2c767014b9cb4faa5c489da003932	census 0	records.tsv
annotated-ref-target-closed-object	candidate	AOSSIE-Org/PictoPy:docs/backend/backend_python/openapi.json@7bb57b326bca9188c271554e27a650c2bfaa220f	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/amadeus.com/2.2.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/anchore.io/0.1.20/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/asana.com/1.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/bbc.com/1.0.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/beezup.com/2.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/betfair.com/1.0.1423/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/bitbucket.org/2.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/britbox.co.uk/3.730.300-ref-1-39-0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/callfire.com/V2/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/configcat.com/v1/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/contract-p.fit/1.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/dnd5eapi.co/0.1/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/e-conomic.com/v20.0.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/elevenlabs.io/1.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/influxdata.com/2.0.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/iqualify.com/v1/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/ix-api.net/2.1.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/json2video.com/2.0.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
annotated-ref-target-closed-object	candidate	APIs-guru/openapi-directory:APIs/just-eat.co.uk/1.0.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	records.tsv
