key	source	item	blocker	build	src_moved_since
annotated-ref-shape	github-publisher-trees	.github/fern/openapi/openapi.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	docs/openapi.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	docs/public/apostrophecms-openapi.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/access/insights/1.0/DataResource.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/access/insights/1.0/DataResourceCustom.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/access/insights/1.0/DataResourceExport.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/access/insights/2.0/DataResource.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/access/insights/2.0/DataResourceCustom.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/access/insights/2.0/DataResourceExport.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/AccountGroups.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/AlertRules.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/Alerts.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/AssetExplorer.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/AssetInventory.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/CompliancePosture.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/DataSecurityDashboard.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/DataSecurityInventory.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/DataSecuritySettings.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/IntegrationsPull.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/Policy.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/Reports.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/ResourceExplorer.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/SearchManager.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/UserProfile.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/UserRoles.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/Widgets.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/cspm/consolidated_spec/cspm_spec.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/prisma-browser/PrismaAccess-Browser-Management-latest.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi-specs/sase/mt-monitor/paloaltonetworks-MSP_Monitoring.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi/teslatlas-v1.openapi.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	packages/apostrophecms-openapi/apostrophecms-openapi.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	packages/openapi-generator/templates/base-spec.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	protocol/source/openapi/teslatlas-v1.openapi.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	spec/json/twilio_intelligence_v3.json	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	spec/yaml/twilio_intelligence_v3.yaml	unprobed on build 8a9454cb74d0	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	yaml/BalancePlatformNegativeBalanceCompensationWarningNotification-v1.yaml	unreadable: DocumentError: yaml/BalancePlatformNegativeBalanceCompensationWarningNotification-v1.yaml: line 158: explicit `? ` mapping keys are not supported	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	yaml/ManagementService-v1.yaml	unreadable: DocumentError: yaml/ManagementService-v1.yaml: line 22421: expected a `key: value` mapping entry, got '? patch-merchants-merchantId-splitConfigurations-splitConfigurationId-rules-ruleId-splitLogic-splitLogicId-patch-splitConfiguration-rule-splitLogic'	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	yaml/ManagementService-v3.yaml	unreadable: DocumentError: yaml/ManagementService-v3.yaml: line 22989: expected a `key: value` mapping entry, got '? patch-merchants-merchantId-splitConfigurations-splitConfigurationId-rules-ruleId-splitLogic-splitLogicId-patch-splitConfiguration-rule-splitLogic'	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	spec/yaml/twilio_api_v2010.yaml	unreadable: DocumentError: spec/yaml/twilio_api_v2010.yaml: line 2476: expected a `key: value` mapping entry, got '? api.v2010.account.incoming_phone_number.incoming_phone_number_assigned_add_on.incoming_phone_number_assigned_add_on_extension'	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi/.raw/v2.yaml	unreadable: DocumentError: openapi/.raw/v2.yaml: line 50808: expected a `key: value` mapping entry, got '? /api/atlas/v2/groups/{groupId}/aiModelApiClouds/{cloud}/geographies/{geography}/modelGroupNames/{modelGroupName}/rateLimits:reset'	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi/v2.yaml	unreadable: DocumentError: openapi/v2.yaml: line 47171: expected a `key: value` mapping entry, got '? /api/atlas/v2/groups/{groupId}/aiModelApiClouds/{cloud}/geographies/{geography}/modelGroupNames/{modelGroupName}/rateLimits:reset'	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi/v2/openapi-2025-03-12.yaml	unreadable: DocumentError: openapi/v2/openapi-2025-03-12.yaml: line 46407: expected a `key: value` mapping entry, got '? /api/atlas/v2/groups/{groupId}/aiModelApiClouds/{cloud}/geographies/{geography}/modelGroupNames/{modelGroupName}/rateLimits:reset'	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	openapi/v2/private/openapi-private-preview-snapshot-namespaces.yaml	unreadable: DocumentError: openapi/v2/private/openapi-private-preview-snapshot-namespaces.yaml: line 773: expected a `key: value` mapping entry, got '? /api/atlas/v2/groups/{groupId}/clusters/{clusterName}/backup/snapshots/{snapshotId}/databases/{databaseName}/collections/{collectionName}'	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	webapp/jsconfig.json	unreadable: DocumentError: webapp/jsconfig.json: line 7: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	charts/docs/templates/configmap.yml	unreadable: DocumentError: charts/docs/templates/configmap.yml: line 1: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	charts/docs/templates/deployment.yml	unreadable: DocumentError: charts/docs/templates/deployment.yml: line 18: unexpected text after a flow collection: ':{{ .Values.image.tag }}'	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	charts/docs/templates/ingress.yml	unreadable: DocumentError: charts/docs/templates/ingress.yml: line 1: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	charts/docs/templates/middleware.yml	unreadable: DocumentError: charts/docs/templates/middleware.yml: line 1: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	backend/.vscode/launch.json	unreadable: DocumentError: backend/.vscode/launch.json: line 2: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	buddy-app/steam/steam_cef/steam_js/templates/tsconfig.json	unreadable: DocumentError: buddy-app/steam/steam_cef/steam_js/templates/tsconfig.json: line 17: is not valid JSON: Expecting ',' delimiter	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	frontend/tsconfig.json	unreadable: DocumentError: frontend/tsconfig.json: line 17: is not valid JSON: Expecting ',' delimiter	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	compose.demo.yml	unreadable: DocumentError: compose.demo.yml: line 12: YAML tags are not supported	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	docs/release-evidence/current-v1-final-acceptance-artifacts/go-test-all.json	unreadable: DocumentError: docs/release-evidence/current-v1-final-acceptance-artifacts/go-test-all.json: line 2: is not valid JSON: Extra data	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	docs/release-evidence/current-v1-runtime-gates-artifacts/go-test-all.json	"unreadable: DocumentError: docs/release-evidence/current-v1-runtime-gates-artifacts/go-test-all.json: line 2: expected a `key: value` mapping entry, got '{""Time"":""2026-08-24T02:35:19.451989354-06:00"",""Action"":""start"",""Package"":""waypoint""}'"	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	docs/release-evidence/v1-completion-reconciliation-artifacts/unit-gate/go-test-release.json	unreadable: DocumentError: docs/release-evidence/v1-completion-reconciliation-artifacts/unit-gate/go-test-release.json: line 2: is not valid JSON: Extra data	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	werf-uv.yaml	unreadable: DocumentError: werf-uv.yaml: line 3: the file holds more than one YAML document; an OpenAPI source is one document	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	.oxlintrc.json	unreadable: DocumentError: .oxlintrc.json: line 3: unexpected content after the document: 'Skipped 23 rules:'	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	apps/peertube-runner/tsconfig.json	unreadable: DocumentError: apps/peertube-runner/tsconfig.json: line 18: is not valid JSON: Expecting value	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	packages/transcription-devtools/tsconfig.json	unreadable: DocumentError: packages/transcription-devtools/tsconfig.json: line 7: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	packages/transcription/tsconfig.types.json	unreadable: DocumentError: packages/transcription/tsconfig.types.json: line 9: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	charts/cosmian-kms/templates/deployment.yaml	unreadable: DocumentError: charts/cosmian-kms/templates/deployment.yaml: line 1: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	charts/cosmian-kms/templates/hpa.yaml	unreadable: DocumentError: charts/cosmian-kms/templates/hpa.yaml: line 1: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	charts/cosmian-kms/templates/ingress.yaml	unreadable: DocumentError: charts/cosmian-kms/templates/ingress.yaml: line 1: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	charts/cosmian-kms/templates/networkpolicy.yaml	unreadable: DocumentError: charts/cosmian-kms/templates/networkpolicy.yaml: line 1: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	charts/cosmian-kms/templates/poddisruptionbudget.yaml	unreadable: DocumentError: charts/cosmian-kms/templates/poddisruptionbudget.yaml: line 1: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
annotated-ref-shape	github-publisher-trees	charts/cosmian-kms/templates/pvc.yaml	unreadable: DocumentError: charts/cosmian-kms/templates/pvc.yaml: line 1: is not valid JSON: Expecting property name enclosed in double quotes	8a9454cb74d0	1c686d7c 14f68996 f6ee5559 c5bec596 499515fa
