snapshot_utc	catalogue_digest	gap_key	selector	outcome	api_id	version	spec_url	source_url	immutable_ref	license	license_screen	declaration_count	notes
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-array-variant-struct-item	schema.anyOf>schema.type:primary=array&schema.items>schema.properties:non-empty	candidate	webflow.com	2023-03-01T164537Z	https://api.apis.guru/v2/specs/webflow.com/2023-03-01T164537Z/openapi.json				refused	1	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-sole-member	schema.anyOf:sole-member	candidate	github.com:ghes-3.1	1.1.4	https://api.apis.guru/v2/specs/github.com/ghes-3.1/1.1.4/openapi.json			MIT	admitted	1	publisher-owned immutable source not evidenced
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-sole-member	schema.anyOf:sole-member	candidate	rebilly.com	2.1	https://api.apis.guru/v2/specs/rebilly.com/2.1/openapi.json			Rebilly	unknown	17	publisher-owned immutable source not evidenced
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-sole-member	schema.anyOf:sole-member	candidate	shotstack.io	v1	https://api.apis.guru/v2/specs/shotstack.io/v1/openapi.json				refused	1	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-sole-member	schema.anyOf:sole-member	candidate	soundcloud.com	1.0.0	https://api.apis.guru/v2/specs/soundcloud.com/1.0.0/openapi.json				refused	3	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-sole-member	schema.anyOf:sole-member	candidate	stripe.com	2022-11-15	https://api.apis.guru/v2/specs/stripe.com/2022-11-15/openapi.json				refused	231	publisher-owned immutable source not evidenced; document declares no info.license
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	anyof-sole-member	schema.anyOf:sole-member	candidate	zoom.us	2.0.0	https://api.apis.guru/v2/specs/zoom.us/2.0.0/openapi.json			MIT for OAS 2.0	admitted	1	publisher-owned immutable source not evidenced
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	array-item-inheritance-union	schema.items>schema.discriminator:inheritance-union	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	array-item-pointer-walk-anyof	schema.properties>schema.type:primary=array&schema.items>schema.$ref:pointer-walk-reaches=anyOf	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	array-item-pointer-walk-oneof	schema.properties>schema.type:primary=array&schema.items>schema.$ref:pointer-walk-reaches=oneOf	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	oneof-array-variant-annotated-ref-item	schema.oneOf>schema.type:primary=array&schema.items>schema.allOf:annotated-ref&schema.allOf>schema.$ref:resolves-to-component	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	oneof-array-variant-anyof-discriminated-union-item	schema.oneOf>schema.type:primary=array&schema.items>schema.anyOf:discriminated-union	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	oneof-array-variant-anyof-item	schema.oneOf>schema.type:primary=array&schema.items>schema.anyOf	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	oneof-array-variant-anyof-nullable-item	schema.oneOf>schema.type:primary=array&schema.items>schema.anyOf:sole-non-null-member	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	oneof-array-variant-closed-object-item	schema.oneOf>schema.type:primary=array&schema.items>schema.additionalProperties=false	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	oneof-array-variant-composed-item	schema.oneOf>schema.type:primary=array&schema.items>!schema.type:primary-scalar&schema.allOf	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	oneof-array-variant-empty-object-item	schema.oneOf>schema.type:primary=array&schema.items>!schema.additionalProperties&!schema.properties:non-empty&schema.properties&schema.type:primary=object	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	oneof-bare-object-example-variant	schema.oneOf>!schema.$ref&!schema.additionalProperties&!schema.allOf&!schema.example:schema-shaped&!schema.properties:non-empty&schema.example=object&schema.type:primary=object	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	property-sole-anyof-closed-object-member	schema.properties>schema.anyOf:sole-member&schema.anyOf>schema.additionalProperties=false	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	property-sole-anyof-composed-member	schema.properties>schema.anyOf:sole-member&schema.anyOf>!schema.type:primary-scalar&schema.allOf	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	property-sole-anyof-empty-object-member	schema.properties>schema.anyOf:sole-member&schema.anyOf>!schema.additionalProperties&!schema.properties:non-empty&schema.properties&schema.type:primary=object	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	property-sole-anyof-struct-member	schema.properties>schema.anyOf:sole-member&schema.anyOf>schema.properties:non-empty	none-found									no catalogue version declared this selector
2026-09-08T20:48:30Z	dfac835d2d1f13dfdb82723d72be1acf567df53c1b710bf6d68e28b795696e66	property-sole-oneof-closed-object-member	schema.properties>schema.oneOf:sole-member&schema.oneOf>schema.additionalProperties=false	none-found									no catalogue version declared this selector
