repository	path	sha256	pinned_refs	sources	classification	declared_keys	licence	ref_screen	fern	disposition	evidence	screen_evidence
Adyen/adyen-openapi	json/BalancePlatformReportNotification-v1.json	8f2cf3225becbd36e0582639e49a577b3ef02d9ee93136f88abe4972d29213ca	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:22	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformService-v1.json	c3d956efeb4f8cff512077378cfb1d9c9b38fd720aa694dec02cae327c365ec6	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:23	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformService-v2.json	8761ac1a9aab15ff6ae84bf8cdf83ca2a2926c5eb0d5d59b64fdbc18911d9ab4	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:24	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformTransactionNotification-v4.json	c017c89744b5bbc81757af9a224b8e2dc7186b5619c87203b15517329c9f6e55	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:25	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformTransferNotification-v3.json	1e730d110ee05b07ecd99379325200e69bed791761f8c9344b132e776f720628	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:26	not-applicable-no-declaration
Adyen/adyen-openapi	json/BalancePlatformTransferNotification-v4.json	2a1bbc0ac46d446485240fb71bd74a2efee788f881bbabd027c2010fa51d638c	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:27	not-applicable-no-declaration
Adyen/adyen-openapi	json/BinLookupService-v40.json	0e29a2e42c98b260401a02cbb03e578f335b90993a735cd566129216b2ba70f4	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:28	not-applicable-no-declaration
Adyen/adyen-openapi	json/BinLookupService-v50.json	98a1bb3e04131c780fefd9637ee77a50088726ba08a03007a2e5ec850e9639b3	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:29	not-applicable-no-declaration
Adyen/adyen-openapi	json/BinLookupService-v52.json	5d10c90ba84e214dcd7332e45f3de124e95667ffb19bf3aa94d029c035b6a14d	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:30	not-applicable-no-declaration
Adyen/adyen-openapi	json/BinLookupService-v53.json	7843c3eff43b09f4e499afa9a6b126c37efbef35c59f280bdfdb54712ed1f530	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:31	not-applicable-no-declaration
Adyen/adyen-openapi	json/BinLookupService-v54.json	a60793003268bd224b57469e1968fc2902584198bc019b678354c5c3e2e50495	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:32	not-applicable-no-declaration
Adyen/adyen-openapi	json/CapitalService-v1.json	03969223d168d12c64c77dae327ea08a0c914a3104a77caf3ccb968ee61af0d7	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:33	not-applicable-no-declaration
